PK,SK,DESCRIPTION
BLACKLIST_URL,https://nicesome.cn/wp-admin/js/d,OpenPhish
BLACKLIST_URL,https://vaibhavarora1205.github.io/,OpenPhish
BLACKLIST_URL,https://bafkreidkpdx4pj3xzya63s7uxmnxl534u4n4pw5rapz5pb5fmlbd4sjm6m.ipfs.dweb.link/,OpenPhish
BLACKLIST_URL,http://rublox-4nex.blogspot.com/?m=1,OpenPhish
BLACKLIST_URL,https://bafkreicevqjzr3trlifklqqll6zquvatyadher65ztham3mdbzz3kcae44.ipfs.dweb.link/,OpenPhish
BLACKLIST_URL,https://brargursimran678-jpg.github.io/new,OpenPhish
BLACKLIST_URL,https://udtaparinda.github.io/pass4,OpenPhish
BLACKLIST_URL,https://b180bef9-fcaf-438f-b01c-2d2edb663fba.e1-us-east-azure.choreoapps.dev/,OpenPhish
BLACKLIST_URL,https://parttimewfhumkm.com/,OpenPhish
BLACKLIST_URL,https://telstracommunicatingskill.framer.website/,OpenPhish
BLACKLIST_URL,https://net1f1ix.com/nf/,OpenPhish
BLACKLIST_URL,https://westunity.github.io/j-u-n1,OpenPhish
BLACKLIST_URL,https://jamescheng-gemini.zeabur.app/,OpenPhish
BLACKLIST_URL,http://att.qjwar.cc/pay,OpenPhish
BLACKLIST_URL,https://ashleybothello.github.io/netflix/,OpenPhish
BLACKLIST_URL,https://bingecareers.netlify.app/,OpenPhish
BLACKLIST_URL,https://ahmed-qureshi-dev.github.io/NETFLIX-HERO-PAGE/,OpenPhish
BLACKLIST_URL,https://danpegado.github.io/FSD-Activity-1-Website-Cloning/,OpenPhish
BLACKLIST_URL,http://contact-iraq-964.ubpages.com/dc00e890-fc1f-11f0-be69-0ea534ffa435,OpenPhish
BLACKLIST_URL,https://shaikayaz9.github.io/Netflix-website-clone/,OpenPhish
BLACKLIST_URL,https://sravanthiseereddi.github.io/movieVerse/,OpenPhish
BLACKLIST_URL,http://reservatiostayverify.com/L6E7LCLQ,OpenPhish
BLACKLIST_URL,http://t-mobile.hpwkg.cc/pay,OpenPhish
BLACKLIST_URL,http://t-mobile.pxtiy.cc/pay,OpenPhish
BLACKLIST_URL,http://divorcemenadvice.highheelsplace.com/.well-known/VR/Login.html,OpenPhish
BLACKLIST_URL,http://autoscout24-anfrage719861.colegiointeragirfsa.com/,OpenPhish
BLACKLIST_URL,http://robinhoodbtbdd.com/login,OpenPhish
BLACKLIST_URL,http://robinhoodowb.com/login,OpenPhish
BLACKLIST_URL,http://learn.smartstart.org.za/wp-content/lblogin/login.php,OpenPhish
BLACKLIST_URL,http://awakkul-shopbd.com/htaccess,OpenPhish
BLACKLIST_URL,http://amazon-clone-taupe-xi.vercel.app/,OpenPhish
BLACKLIST_URL,http://mikewoods2.github.io/pop/Finalization%20Payment%20Outstanding,OpenPhish
BLACKLIST_URL,http://data-collection-neon.vercel.app/,OpenPhish
BLACKLIST_URL,http://gginmnr_loggim.godaddysites.com/,OpenPhish
BLACKLIST_URL,http://t-mobile.nhijm.cc/pay,OpenPhish
BLACKLIST_URL,http://loggiaaphold.godaddysites.com/,OpenPhish
BLACKLIST_URL,http://atifleghari786.github.io/Project-1,OpenPhish
BLACKLIST_URL,http://t-mobile.kfysx.cc/pay,OpenPhish
BLACKLIST_URL,http://att.xobdp.cc/pay,OpenPhish
BLACKLIST_URL,http://coinuasexloingh.godaddysites.com/,OpenPhish
BLACKLIST_URL,http://muhammedsabith3940.github.io/amazon-clone,OpenPhish
BLACKLIST_URL,http://ayushsingh108.github.io/Amazon-Clone,OpenPhish
BLACKLIST_URL,http://www.roblox.com.ml/users/3823115066/profile/,OpenPhish
BLACKLIST_URL,http://nexustocanada.com/old_files/za,OpenPhish
BLACKLIST_URL,https://foodlifedesign.store/nnetsslo921982esecure,OpenPhish
BLACKLIST_URL,http://jnlsslc.com/,OpenPhish
BLACKLIST_URL,http://jade-meringue-ed6c05.netlify.app/,OpenPhish
BLACKLIST_URL,http://gsnyman09.github.io/FINAL-SARS-DEMAND-SUMMON-LETTER/FINAL%20SARS%20DEMAND%20SUMMON%20LETTER,OpenPhish
BLACKLIST_URL,http://tokenim.mom/,OpenPhish
BLACKLIST_URL,http://adfccc.blogspot.com/,OpenPhish
BLACKLIST_URL,http://uqholdxxogin-us.godaddysites.com/,OpenPhish
BLACKLIST_URL,http://t-mobile.tfpok.cc/pay,OpenPhish
BLACKLIST_URL,http://sweet-melomakarona-2bf2d7.netlify.app/,OpenPhish
BLACKLIST_URL,http://imkey-app.com/index.html,OpenPhish
BLACKLIST_URL,http://illustrious-mermaid-338792.netlify.app/,OpenPhish
BLACKLIST_URL,http://att.qglri.cc/pay,OpenPhish
